AnuncioEnderecoCep;FreeformAddress;StreetNumber;StreetName;MunicipalitySubdivision;Municipality;CountrySecondarySubdivision;CountrySubdivision;Country;CountryCode;CountryCodeISO3;PostalCode;Lat;Lon;Score;Type
20240310;20240, Santa Teresa, Rio de Janeiro;;;Santa Teresa, Jacarepaguá;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91889;-43,18977;2.7559998035;Geography
20240320;Rua Triunfo, 20240-320, Rio de Janeiro;;Rua Triunfo;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,9202;-43,18663;2.3055999279;Street
20241000;Rua Bernardino dos Santos, 20241-000, Rio de Janeiro;;Rua Bernardino dos Santos;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91982;-43,1829;2.3055999279;Street
20241010;Travessa Cassiano, 20241-010, Rio de Janeiro;;Travessa Cassiano;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91877;-43,18123;2.3055999279;Street
20241020;Rua Dias de Barros, 20241-020, Rio de Janeiro;;Rua Dias de Barros;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91823;-43,18208;2.3055999279;Street
20241030;20241, Laranjeiras, Rio de Janeiro;;;Laranjeiras, Alto da Boa Vista, Santa Teresa, Tijuca, Rio Comprido, Cosme Velho, Centro, Glória, Catete;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,93468;-43,19972;2.7559998035;Geography
20241040;Rua Hermenegildo de Barros, 20241-040, Rio de Janeiro;;Rua Hermenegildo de Barros;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,9188;-43,18019;2.3055999279;Street
20241050;Rua Murtinho Nobre, 20241-050, Rio de Janeiro;;Rua Murtinho Nobre;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91751;-43,18261;2.3055999279;Street
20241100;Rua Gonçalves Fontes, 20241-100, Rio de Janeiro;;Rua Gonçalves Fontes;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91671;-43,17965;2.3055999279;Street
20241140;Ladeira Santa Teresa, 20241-140, Rio de Janeiro;;Ladeira Santa Teresa;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91602;-43,1805;2.3055999279;Street
20241150;Rua Benjamin Constant, 20241-150, Rio de Janeiro;;Rua Benjamin Constant;Catete;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,92074;-43,17891;2.3055999279;Street
20241160;Rua do Fialho, 20241-160, Rio de Janeiro;;Rua do Fialho;Catete;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,9214;-43,18031;2.3055999279;Street
20241180;Rua da Glória, 20241-180, Rio de Janeiro;;Rua da Glória;Glória;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91892;-43,17704;2.3055999279;Street
20241220;Rua Cândido Mendes, 20241-220, Rio de Janeiro;;Rua Cândido Mendes;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,92037;-43,18154;2.3055999279;Street
20241240;Travessa Manoel Lebrão, 20241-240, Rio de Janeiro;;Travessa Manoel Lebrão;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91999;-43,18073;2.3055999279;Street
20241250;Rua Santa Cristina, 20241-250, Rio de Janeiro;;Rua Santa Cristina;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,92166;-43,18276;2.3055999279;Street
20241260;Rua Almirante Alexandrino, Rio de Janeiro;;Rua Almirante Alexandrino;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241, 22211, 22221;-22,92663;-43,19194;2.3055999279;Street
20241263;Rua Almirante Alexandrino, Rio de Janeiro;;Rua Almirante Alexandrino;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241, 22211, 22221;-22,92663;-43,19194;2.3055999279;Street
20241264;Rua Almirante Alexandrino, Rio de Janeiro;;Rua Almirante Alexandrino;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241, 22211, 22221;-22,92663;-43,19194;2.3055999279;Street
20241265;Rua Almirante Alexandrino, Rio de Janeiro;;Rua Almirante Alexandrino;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241, 22211, 22221;-22,92663;-43,19194;2.3055999279;Street
20241266;Rua Almirante Alexandrino, Rio de Janeiro;;Rua Almirante Alexandrino;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241, 22211, 22221;-22,92663;-43,19194;2.3055999279;Street
